state,state_fips,median_household_income_usd,income_year,income_source_url
Alabama,01,66659,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Alaska,02,95665,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Arizona,04,81486,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Arkansas,05,62106,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
California,06,100149,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Colorado,08,97113,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Connecticut,09,96049,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Delaware,10,87534,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Florida,12,77735,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Georgia,13,79991,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Hawaii,15,100745,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Idaho,16,81166,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Illinois,17,83211,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Indiana,18,71959,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Iowa,19,75501,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Kansas,20,75514,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Kentucky,21,64526,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Louisiana,22,60986,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Maine,23,76442,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Maryland,24,102905,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Massachusetts,25,104828,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Michigan,26,72389,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Minnesota,27,87117,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Mississippi,28,59127,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Missouri,29,71589,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Montana,30,75340,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Nebraska,31,76376,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Nevada,32,81134,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
New Hampshire,33,99782,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
New Jersey,34,104294,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
New Mexico,35,67816,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
New York,36,85820,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
North Carolina,37,73958,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
North Dakota,38,77871,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Ohio,39,72212,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Oklahoma,40,66148,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Oregon,41,85220,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Pennsylvania,42,77545,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Rhode Island,44,83504,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
South Carolina,45,72350,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
South Dakota,46,76881,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Tennessee,47,71997,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Texas,48,79721,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Utah,49,96658,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Vermont,50,82730,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Virginia,51,92090,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Washington,53,99389,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
West Virginia,54,60798,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Wisconsin,55,77488,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
Wyoming,56,75532,2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*"
