state,state_fips,union_membership_rate_pct,union_members,employed_wage_salary_workers,median_household_income_usd,rpp_all_items,median_household_income_real_usd,union_rate_year,income_year,rpp_year,union_source_url,income_source_url,rpp_source_url
Alabama,01,6.6,140000,2110000,66659,88.823,75047.0,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Alaska,02,17.7,53000,300000,95665,102.359,93460.27,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Arizona,04,3.7,118000,3183000,81486,100.677,80938.05,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Arkansas,05,3.5,45000,1265000,62106,86.937,71437.94,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
California,06,14.5,2381000,16399000,100149,110.72,90452.49,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Colorado,08,7.7,206000,2671000,97113,103.052,94236.89,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Connecticut,09,16.5,269000,1634000,96049,103.61,92702.44,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Delaware,10,8.5,37000,435000,87534,99.808,87702.39,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Florida,12,5.1,462000,9086000,77735,103.414,75168.74,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Georgia,13,3.8,174000,4619000,79991,96.293,83070.42,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Hawaii,15,26.5,147000,556000,100745,109.951,91627.18,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Idaho,16,5.0,43000,850000,81166,95.494,84995.92,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Illinois,17,13.1,734000,5615000,83211,99.958,83245.96,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Indiana,18,9.0,271000,2999000,71959,93.329,77102.51,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Iowa,19,6.4,93000,1437000,75501,87.762,86029.26,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Kansas,20,6.3,83000,1309000,75514,90.068,83841.1,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Kentucky,21,8.8,156000,1761000,64526,90.159,71569.12,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Louisiana,22,3.9,69000,1741000,60986,88.207,69139.64,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Maine,23,13.1,77000,585000,76442,97.05,78765.58,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Maryland,24,11.4,325000,2851000,102905,104.959,98043.05,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Massachusetts,25,14.6,496000,3397000,104828,105.757,99121.57,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Michigan,26,13.4,581000,4346000,72389,96.217,75235.15,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Minnesota,27,14.2,379000,2668000,87117,98.621,88335.14,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Mississippi,28,5.2,59000,1129000,59127,86.953,67998.8,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Missouri,29,8.6,234000,2734000,71589,90.817,78827.75,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
